model,roc_auc,avg_precision,f1,recall,precision,fpr,accuracy
Baseline: Standard AE,0.8965,0.7578,0.0336,0.0174,0.5012,0.0098,0.6379
Hybrid 1: AE + OC-SVM (bottleneck),0.4600,0.3137,0.0094,0.0048,0.2127,0.0101,0.6332
Hybrid 2: AE + Isolation Forest (bottleneck),0.4231,0.3392,0.0116,0.0060,0.2508,0.0101,0.6336
Hybrid 3: AE + RF (pseudo-label),0.7920,0.5593,0.0335,0.0174,0.4976,0.0099,0.6378
Reference: RF alone (pseudo-label),0.3433,0.3176,0.0335,0.0173,0.4978,0.0099,0.6378
Reference: Sparse AE alone,0.8929,0.7597,0.0336,0.0174,0.4986,0.0099,0.6378
Hybrid 4: Sparse AE + OC-SVM,0.4206,0.3007,0.0190,0.0098,0.3561,0.0100,0.6350
Reference: Denoising AE alone,0.8867,0.7675,0.1433,0.0785,0.8179,0.0099,0.6600
Hybrid 5: Denoising AE + OC-SVM,0.4783,0.3186,0.0057,0.0029,0.1398,0.0101,0.6325
Hybrid 6: Meta-Ensemble (all models),0.4140,0.3024,0.0098,0.0050,0.2202,0.0101,0.6332
